hot,info,rate,title,title2
"(
                    56460人评价
                )",[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,"
                窗边的小豆豆

                
              ",
"(
                    53854人评价
                )",[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2,"
                三国演义（全二册）

                
              ",
"(
                    62545人评价
                )",[美] 加·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00,7.6,"
                岛上书店

                
              ",The Storied Life of A. J. Fikry
"(
                    55505人评价
                )",王小波 / 花城出版社 / 1999-3 / 19.00元,8.7,"
                黄金时代

                
                  ",
"(
                    57306人评价
                )",余华 / 上海文艺出版社 / 2005-8 / 16.00元,8.3,"
                兄弟（上）

                
              ",
"(
                    56610人评价
                )",今何在 / 光明日报出版社 / 2001-4 / 14.80元,8.4,"
                悟空传

                
                  ",
"(
                    56105人评价
                )",艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元,8.4,"
                呼啸山庄

                
              ",Wuthering Heights
"(
                    49028人评价
                )",金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,"
                笑傲江湖（全四册）

                
              ",
"(
                    52884人评价
                )",刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,"
                民主的细节

                
                  ",
"(
                    53960人评价
                )",[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.3,"
                少有人走的路

                
                  ",The Road Less Traveled
"(
                    52360人评价
                )",龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.7,"
                亲爱的安德烈

                
              ",
"(
                    51073人评价
                )",[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.7,"
                灿烂千阳

                
              ",A Thousand Splendid Suns
"(
                    52552人评价
                )",海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.3,"
                老人与海

                
              ",The Old Man and the Sea
"(
                    53405人评价
                )",张德芬 / 华夏出版社 / 2008-1 / 29.00,8.1,"
                遇见未知的自己

                
              ",
"(
                    24390人评价
                )",[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,9.2,"
                一九八四·动物农场

                
              ",Nineteen Eighty-Four
"(
                    47810人评价
                )",[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2,"
                福尔摩斯探案全集（上中下）

                
              ",
"(
                    50183人评价
                )",[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.6,"
                牧羊少年奇幻之旅

                
              ",O Alquimista
"(
                    59478人评价
                )",郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,6.7,"
                小时代1.0折纸时代

                
              ",
"(
                    52893人评价
                )",[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元,7.7,"
                洛丽塔

                
              ",Lolita
"(
                    47172人评价
                )",[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元,8.9,"
                百年孤独

                
              ",Cien años de soledad
"(
                    48999人评价
                )",[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元,8.4,"
                1Q84 BOOK 2

                
                  ",
"(
                    51344人评价
                )",安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,7.8,"
                素年锦时

                
              ",
"(
                    46539人评价
                )",[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,"
                情书

                
              ",ラヴレター
"(
                    52178人评价
                )",蔡智恒 / 知识出版社 / 1999-11-1 / 12.80,7.4,"
                第一次的亲密接触

                
              ",
"(
                    44710人评价
                )",金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.8,8.8,"
                神雕侠侣

                
              ",
"(
                    51241人评价
                )",韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,7.4,"
                一座城池

                
              ",
"(
                    47234人评价
                )",小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.1,"
                茶花女

                
              ",La Dame aux camélias
"(
                    48543人评价
                )",[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,7.9,"
                麦田里的守望者

                
              ",The Catcher in the Rye
"(
                    49984人评价
                )",韩寒 / 万卷出版公司 / 2009-1 / 25.00元,7.5,"
                他的国

                
              ",
"(
                    48259人评价
                )",安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元,7.8,"
                彼岸花

                
              ",
"(
                    46709人评价
                )",笛安 / 长江文艺出版社 / 2009-3 / 22.80元,8.0,"
                西决

                
              ",
"(
                    43616人评价
                )",文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,8.4,"
                这些都是你给我的爱

                
              ",
